,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
212,那些日子 ,龍井鄉,8.5,208,799
213,時間軸食宿工坊 ,龍井鄉,9.2,809,3200
214,敦普文旅 ,西區,8.5,1076,1039
215,悅萊精品旅館 ,西屯區,7.9,1884,2618
216,台中名帥大飯店- 國光台中館 ,中區,6.7,630,1252
217,金沙精品汽車旅館 ,北區,7.0,925,1226
218,米閣商旅 ,北區,7.9,1523,1281
219,緣橋商務汽車旅館 ,南屯區,8.2,1068,1855
220,華登商務大飯店 ,北屯區,7.3,1399,1299
221,好瓦文旅 ,沙鹿區,8.8,38,3377
222,心媞SPA休閒旅館 ,北區,8.3,492,1543
223,逢甲發現幸福 ,逢甲,7.2,897,684
224,火柴盒青年旅館 ,龍井鄉,8.0,449,779
225,高樓層豪景小宅 ,西區,8.8,608,1628
226,意文大飯店 ,中區,5.3,248,1645
227,梨山賓館 ,和平區,7.9,700,5154
228,曼特先生 ,中區,8.6,4106,1196
229,夜眠逢甲 ,逢甲,8.6,480,848
230,一中記憶旅程 ,北區,8.2,1512,895
231,彩虹山舍 ,新社區,8.9,492,2435
232,禾康商務旅館 ,北屯區,8.3,700,1325
233,真正好旅店 ,豐原區,7.7,654,1108
234,東海牛棚背包客棧  ,龍井鄉,8.5,644,952
235,睡 被 窩 ,西區,8.8,1135,945
236,金禧民宿 ,龍井鄉,8.5,203,1461
237,歐風商旅 ,西屯區,7.1,809,2759
238,艾思行旅 ,逢甲,9.3,151,1905
239,戀愛逢甲精品旅店 ,逢甲,8.0,1002,1013
240,心戀逢甲 ,逢甲,7.4,563,914
241,逢甲居 ,逢甲,8.3,2644,887
242,楓采汽車旅館 ,豐原區,7.3,133,1563
243,一中街尋鹿客 活氧離子除病菌細菌 酒精消菌 實名制 ,北區,8.7,1068,1314
244,梅林親水岸 ,新社區,6.4,174,699
245,T11.T12賽車主題旅店 ,后里區,7.8,74,2882
246,逢甲Mr16 ,逢甲,7.5,19,1402
247,心驛旅館 ,南屯區,7.1,641,1636
248,叄樓特色公寓,北區,8.0,206,848
249,逢甲輕旅宿  ,逢甲,8.2,590,751
250,蘭娜汽車旅館 ,南屯區,7.2,224,1714
251,踢‧生活背包客棧 ,龍井鄉,9.0,1158,1187
