,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
252,莉莉的家 Lilys - 高雄橋頭老街民宿,橋頭區,8.7,137,1304
253,旅人小棧 ,左營區,8.4,1348,1948
254,城旅 ,前鎮區,8.0,429,855
255,歐閣精品汽車旅館 鳳山館 ,鳳山區,8.3,457,1558
256,麗登精品汽車旅館 ,鳳山區,8.0,309,1991
257,薇風情汽車旅館 - 自由店 ,三民區,7.2,118,2589
258,左營區的1臥室公寓 - 25平方公尺/2間專用衛浴 ,左營區,8.7,9,799
259,蘇羅婆溫泉渡假村 ,六龜區,7.1,206,1558
260,金銀島汽車旅館-新富店  ,鳳山區,6.8,201,2454
261,85悠活 ,苓雅區,8.5,263,1043
262,丈引小院 X 高雄眷村民宿 ,左營區,8.8,39,1593
263,鳳山區公寓套房 - 6平方公尺/1間專用衛浴 ,鳳山區,2.0,2,1267
264,新興區的1臥室獨棟住宅 - 15平方公尺/1間專用衛浴 ,苓雅區,9.2,2,1118
265,高雄包棟阿爾兔兔旅店 ,新興區,7.7,129,1563
266,85幸福公寓 ,苓雅區,8.0,299,998
267,阡陌一舍 UNS ,鹽埕區,9.5,279,2330
268,回家民宿-駁二店 ,鹽埕區,9.6,115,1455
269,星旅店 ,新興區,7.8,169,1091
270,85時光-高雄85大樓,苓雅區,9.5,168,1905
271,紫園汽車旅館  ,鳳山區,8.6,145,1541
272,鳳山79背包客 Fengshan No 79 Backpacker,鳳山區,8.9,104,1714
273,旗山三合院 ,旗山區,8.5,225,1299
274,71 Cafe溫度民宿 ,三民區,8.8,7,1887
275,悠然山莊 ,六龜區,7.8,31,2591
276,悠然山莊 ,六龜區,7.8,31,2591
277,御宿Motel 明誠館 ,鼓山區,8.0,174,1558
278,街景四人房 - 近捷運/三多商圈 ,苓雅區,9.0,8,2114
279,花鄉旅館連鎖-鳳山店 ,鳳山區,7.1,195,2558
280,獨享雙人房 ,新興區,8.6,8,2420
281,草地人Spa民宿 ,六龜區,8.4,399,1974
282,太陽不見被窩想念3大人The sun does not see the quilt miss 3 adults,左營區,8.7,15,1115
283,香堤時尚旅館 ,岡山區,7.4,421,1402
284,Hakka Eco-farm 雅歌園民宿食農教育有機農場,市中心,8.4,90,2165
285,金銀島汽車旅館-仁武店 ,鳥松區,7.8,298,1211
286,E-經典館-家庭夜景六人房,苓雅區,9.3,9,4863
287,市中心公寓套房 - 50平方公尺/2間專用衛浴 ,苓雅區,10.0,7,2371
288,迎曦醉月主題會館 ,鼓山區,8.6,379,1905
289,同‧居民宿 - 高雄青年旅館 ,新興區,9.1,686,1564
290,芳晨溫泉渡假村  ,六龜區,7.4,196,1905
291,薇風情汽車旅館 - 鳳山店 ,鳳山區,8.2,458,2589
292,松柏林山莊 ,六龜區,7.0,264,1818
293,海軍官邸三號院 ,左營區,9.6,3,1905
294,全海景雙人房 - 近捷運/三多商圈 ,苓雅區,8.6,50,1706
295,花鄉旅館連鎖-大昌店  ,三民區,7.2,218,1299
296,溫蒂小棧-民宿客房 ,鼓山區,9.6,22,810
297,日景園 ,六龜區,7.2,126,866
298,梨幸日和 Good Days in Liko,岡山區,8.0,128,2720
299,玫瑰花園汽車旅館  ,旗山區,7.5,323,1702
300,蓮潭旅居 ,左營區,8.9,15,2437
301,旗山區的3臥室獨棟住宅 - 92平方公尺/2間專用衛浴 ,旗山區,9.8,4,3714
302,高雄85大樓童年主題館 ,苓雅區,7.8,180,978
303,美濃煙城民宿 ,美濃區,8.2,160,2857
304,摩天海灣商旅 ,前鎮區,7.1,230,1478
305,涵園民宿 ,美濃區,8.8,246,1732
306,香堤晶典汽車旅館 - 小港 ,小港區,7.6,141,1402
307,高芳大旅社 ,前鎮區,8.5,255,1039
308,美濃雲山居民宿 ,美濃區,8.7,117,1732
309,鴻來商務旅館 ,三民區,6.5,311,600
310,中庭雙人房A - 近捷運/三多商圈 ,苓雅區,8.0,1,1100
311,阿爾兔兔 高雄包棟寵物友善住宿 ,新興區,7.3,3,1455
312,風車時尚汽車旅店 ,三民區,7.6,237,1195
313,中正湖歐式山莊民宿 ,美濃區,6.4,4,2823
314,左營區的1臥室獨棟住宅 - 66平方公尺/1間專用衛浴 ,左營區,no info,no info,2608
315,たまごスープ民宿,鳳山區,9.0,91,2895
316,楠梓土庫民宿 ,楠梓區,6.2,25,866
317,曉白-內巷的小白屋 ,苓雅區,6.9,4,2168
318,底加睏-眷村民宿 ,鳳山區,9.2,50,1403
319,85童年 ,苓雅區,7.9,142,1057
320,中庭雙人房B - 近捷運/三多商圈 ,苓雅區,8.3,13,1137
321,左營區的3臥室獨棟住宅 - 86平方公尺/3間專用衛浴 ,左營區,7.8,4,4461
322,左營區的1臥室別墅 - 61平方公尺/1間專用衛浴 ,左營區,9.2,2,3181
323,C-高雄三多館-夜景家庭6人房,苓雅區,7.4,7,4804
324,左營區的1臥室獨棟住宅 - 61平方公尺/1間專用衛浴 ,左營區,9.5,4,3152
325,高雄套房2  ,左營區,7.1,20,1394
326,左營區的1臥室獨棟住宅 - 61平方公尺/1間專用衛浴 ,左營區,9.2,1,3133
327,前金區的1臥室公寓 - 33平方公尺/1間專用衛浴 ,前金區,8.0,3,2357
