,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
126,基河青旅 ,士林區,8.4,388.0,1472
127,柯達大飯店台北敦南 ,大安區,8.4,1888.0,2182
128,沐蘭精品旅館 - 台北館 ,中山區,7.7,1474.0,2525
129,挪威森林精品SPA汽車旅館 ,新店區,7.9,1044.0,2060
130,天方夜譚 ,九份,8.3,629.0,1558
131,絹絲谷 ,士林區,8.6,273.0,5377
132,麗都飯店 ,大安區,8.5,1936.0,2103
133,薇閣精品旅館 林森館 ,中山區,8.3,763.0,3636
134,沃客汽車旅館 ,北投區,8.0,3527.0,2204
135,台北清翼居旅店 ,板橋區,8.2,2358.0,1445
136,雅歌會館 ,淡水區,7.9,596.0,1726
137,天津大飯店 ,中山區,7.7,227.0,857
138,西悠飯店 ,大同區,8.5,4144.0,725
139,士林公寓 ,士林區,7.7,1577.0,1598
140,儷閣別墅旅館 ,中和區,8.0,831.0,1653
141,西門好好玩 ,西門町,7.7,11046.0,971
142,真的好晶漾會館 ,新莊區,7.6,777.0,1302
143,美代溫泉飯店  ,北投區,8.2,36.0,3257
144,南陽街壹號旅店 ,中正區,8.6,6043.0,1241
145,府中棧精品商旅 ,板橋區,8.0,1229.0,1925
146,台北圓環棧 ,中正區,8.4,1311.0,900
147,台北北門窩泊旅 ,中正區,8.5,4553.0,935
148,台北天晴青年旅店 ,中正區,9.4,2253.0,2065
149,內江商旅 ,西門町,7.9,2524.0,1682
150,泊居旅店二館 ,中山區,8.1,356.0,1525
151,甲山林湯旅 ,中山區,8.5,791.0,3876
152,友統大飯店 ,大安區,8.1,710.0,1411
153,城市商旅 - 南東館防疫旅館 ,松山區,8.3,4092.0,3821
154,愛行旅 ,中山區,8.4,1443.0,1038
155,HATAGO+ THE ALLEY,西門町,8.8,803.0,1232
156,仙渡莊旅社 ,北投區,8.1,200.0,1071
157,金帥飯店 ,西門町,7.1,3601.0,942
158,烏來驛站 ,烏來區,7.1,566.0,2198
159,東門旅店 ,中正區,8.1,1537.0,1703
160,峻美精品商旅 ,中山區,7.8,700.0,1247
161,柯達大飯店台北一店 ,中山區,8.5,1287.0,4204
162,正旅館 - 信義館 ,信義區,8.7,2737.0,2061
163,寧夏2號旅店 ,大同區,8.6,2109.0,1621
164,WORK INN 北車館 ,中正區,8.3,4963.0,999
165,復新文旅 ,中山區,8.0,2086.0,1822
166,吉泰旅店 ,士林區,8.7,320.0,2510
167,密都飯店 ,中山區,7.4,1228.0,1169
168,挪威森林森森休閒旅館 ,淡水區,7.9,1528.0,2077
169,探索汽車旅館 - 中和店 ,中和區,7.9,1954.0,1757
170,品格子旅店北車館 ,中正區,8.1,3663.0,999
171,函舍商務旅店 ,西門町,7.6,1969.0,1169
172,愛玩客旅店-西門町館 ,西門町,8.4,3755.0,1379
173,睡臺北時尚旅店-南雅夜市館 ,板橋區,7.7,2008.0,1315
