,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
280,樂玩旅,士林區,8.7,564.0,1558,25.0876936,121.5256255
281,柯達大飯店台北一店,中山區,8.5,1286.0,4143,25.0528412,121.5231758
282,九窩 - 九份膠囊旅店,九份,9.2,758.0,2494,25.1086881,121.8452089
283,品格子旅店 - 西門館,西門町,7.8,2976.0,998,25.0458147,121.5066656
284,豪爵大飯店台北館,中山區,7.8,639.0,1732,25.0650638,121.5316612
285,天使青旅 台北西門,中正區,8.0,3730.0,935,25.0426101,121.5120391
286,北國之春,鶯歌區,7.7,142.0,1796,24.9628895,121.3340648
287,玫瑰山城,九份,8.5,411.0,2906,25.1212762,121.8612606
288,碩美精品旅店,中山區,8.4,1066.0,1539,25.0555095,121.5254245
289,明月溫泉,烏來區,8.3,2071.0,5228,24.8639949,121.5519345
290,雨天晴民宿,九份,8.0,654.0,1645,25.1073352,121.8468433
291,途中台北國際青年旅舍,北投區,8.9,1785.0,1201,25.13297,121.500623
292,台北發現青旅,中山區,9.0,1609.0,1169,25.0629113,121.5290786
293,台北旅坊,中山區,8.5,223.0,1766,25.0507638,121.5334
294,M Bar House,九份,8.9,670.0,1541,25.1093115,121.8441604
295,儷夏商旅 - 西門捷運館,西門町,8.5,1512.0,1299,25.0446918,121.5085654
296,艾特文旅西門町,西門町,8.6,2091.0,1177,25.0454154,121.503584
297,金瓜石101民宿,九份,9.2,441.0,2338,25.108961,121.8601046
298,金色年代旅店,板橋區,7.8,1640.0,1455,25.0066034,121.4615867
299,YMCA台北青年國際旅館,中正區,8.3,3322.0,2046,25.0456948,121.5166068
300,東皇渡假旅店,北投區,6.9,565.0,1466,25.1361021,121.5107283
301,皇家玫瑰旅館林森館,中山區,8.1,628.0,2648,25.0507638,121.5334
302,神隱國度,九份,9.0,511.0,1602,25.1072843,121.8456756
303,台北旅人國際青年旅館,淡水區,8.8,906.0,1097,25.17168,121.4390157
304,卡夫人背包客棧 台北車站青年館,中正區,8.6,2251.0,952,25.0446517,121.514883
305,儷夏商旅 - 西門町西寧館,西門町,8.4,1210.0,1126,25.0458092,121.5066039
306,璞邸城市膠囊旅店,中正區,8.9,5931.0,1175,25.046384,121.5133454
307,皇品時尚旅店,板橋區,7.9,1427.0,1248,25.0093235,121.4624373
308,錦棧旅店,中山區,8.4,1533.0,2133,25.0600171,121.5257839
309,皇后旅店2館,大同區,8.2,2357.0,1455,25.0544644,121.5130925
310,魚旅背包客棧,鶯歌區,8.8,374.0,1558,24.954145,121.355595
311,旅莊Urhome,中山區,8.2,441.0,2061,25.0505184,121.5237116
312,九份閒情民宿,九份,8.9,457.0,2182,25.1087822,121.8446301
313,西門大可居青年旅館,萬華區,7.8,4779.0,1103,25.0357924,121.5033016
314,西門大可居青年旅館,萬華區,7.8,4779.0,1103,25.0357924,121.5033016
315,慶爾喜旅館長沙館,西門町,7.2,3391.0,711,25.0407719,121.506922
316,文林居,士林區,7.5,434.0,1616,25.096185,121.52705
317,柔美精品商旅,中山區,8.1,1965.0,2281,25.0544248,121.5359505
318,晶城青年旅館,大同區,8.1,4241.0,651,25.053927,121.513958
319,久居棧旅店,大同區,8.2,2039.0,1206,25.0625183,121.5115003
320,森浩文旅-STEP INN,松山區,7.4,13.0,1374,25.0507157,121.5641792
321,喬合大飯店,大安區,7.8,1350.0,966,25.0427382,121.5435594
322,烏來輕井澤溫泉旅館,烏來區,7.2,255.0,3359,24.8647349,121.5516612
